Sex,DVRT,Educational.Level,Leaving.Certificate,Father.Occupation.Score,School.Type
2,81,9,2,37,1
2,101,5,1,18,1
2,91,9,2,37,1
2,93,9,2,38,1
2,116,9,2,18,1
2,90,9,2,57,1
2,115,9,2,35,1
2,89,1,1,18,9
2,108,11,2,37,1
2,100,9,2,18,1
2,86,4,1,37,2
2,84,5,1,37,1
2,90,4,1,37,2
2,103,11,2,28,1
2,100,9,2,57,1
2,102,9,2,43,1
2,82,5,1,35,1
2,83,5,1,37,1
2,113,9,2,37,1
2,117,11,2,57,1
2,111,9,2,18,1
2,100,9,2,37,1
2,91,11,2,58,1
2,97,9,2,58,1
2,109,10,2,43,1
2,100,3,1,37,1
2,98,5,1,37,1
2,85,7,1,35,1
2,91,1,1,18,9
2,85,5,1,31,1
2,81,9,2,37,1
2,87,9,2,37,1
2,95,11,2,37,1
2,102,3,1,37,1
2,94,1,1,38,9
2,89,7,1,37,1
2,112,2,1,37,2
2,118,9,2,37,1
2,70,7,1,37,1
2,103,11,2,37,1
2,90,9,2,37,1
2,97,9,2,37,1
2,104,6,1,37,2
2,91,2,1,37,2
2,94,4,1,37,2
2,107,3,1,57,1
2,90,3,1,37,1
2,70,9,2,37,1
2,97,4,1,37,2
2,104,5,1,18,1
2,96,5,1,28,1
2,81,2,1,18,2
2,114,9,2,28,1
2,106,4,1,18,2
2,105,9,2,18,1
2,92,2,1,28,2
2,96,9,2,38,1
2,84,4,1,18,2
2,89,2,1,18,2
2,111,9,2,58,1
2,102,4,1,18,2
2,99,4,1,37,2
2,104,3,1,37,1
2,70,4,1,31,2
2,70,4,1,35,2
2,90,2,1,18,2
2,104,9,2,18,1
2,102,9,2,37,1
2,86,9,2,37,1
2,73,9,2,35,1
2,81,5,1,37,1
2,93,9,2,57,1
2,111,7,1,37,1
2,104,3,1,18,1
2,105,5,1,28,1
2,73,5,1,37,1
2,85,9,2,28,1
2,107,11,2,61,1
2,112,11,2,62,1
1,127,11,2,40,1
1,114,5,1,66,1
1,114,9,2,71,1
1,109,2,1,18,2
1,93,9,2,51,1
2,114,9,2,40,1
2,100,9,2,31,1
2,92,3,1,18,1
2,110,9,2,61,1
2,93,4,1,37,2
2,96,2,1,43,2
1,120,0,1,75,1
1,114,11,2,75,1
1,127,11,2,40,1
1,106,9,2,75,1
1,110,9,2,53,1
1,92,6,1,38,2
1,125,11,2,71,1
1,108,9,2,71,1
2,112,9,2,18,1
2,93,9,2,69,1
2,114,9,2,75,1
2,104,9,2,18,1
2,92,9,2,75,1
2,104,5,1,43,1
2,109,9,2,71,1
2,109,11,2,40,1
2,104,5,1,18,1
1,123,6,1,36,2
1,125,11,2,31,1
1,127,11,2,37,1
1,129,11,2,43,1
1,119,10,2,69,1
1,125,4,1,71,2
1,121,9,2,37,1
1,124,9,2,36,1
1,125,9,2,18,1
1,129,5,1,18,1
1,122,9,2,62,1
1,121,10,2,37,1
1,129,10,2,0,1
1,122,9,2,40,1
1,126,4,1,51,2
1,122,11,2,35,1
1,123,9,2,65,1
1,119,11,2,71,1
2,120,11,2,40,1
2,127,2,1,35,2
2,127,9,2,62,1
2,120,9,2,61,1
2,127,9,2,58,1
2,123,9,2,37,1
2,120,11,2,37,1
2,123,9,2,37,1
2,122,4,1,18,2
2,119,11,2,37,1
1,130,6,1,0,2
1,134,10,2,62,1
1,136,11,2,61,1
1,135,11,2,61,1
1,140,11,2,71,1
1,131,9,2,30,1
1,137,11,2,62,1
1,136,11,2,18,1
1,132,11,2,37,1
2,135,11,2,62,1
2,134,11,2,0,1
